Sr.No,Company,Post
1,Lamborghini,"What happens when thunder and lightning sculpt a masterpiece? Lamborghini Revuelto.
#Lamborghini #Revuelto #FromNowOn
The vehicle is not yet offered for sale and is therefore not subject to Directive 1999/94/EC. The fuel consumption and emissions data is in the type approval stage"
2,Lamborghini,"Where the original Countach marked the beginning, the LPI 800-4 writes the latest chapter. From aesthetics to aerodynamics, experience the future in its most breathtaking form.

Captured for @lambophilly by @alexthespangler

#Lamborghini #Countach #FutureIsOurLegacy
__
Countach LPI 800-4: fuel consumption combined: 19,5 l/100km (WLTP); CO2-emissions combined: 440 g/km (WLTP)"
3,Lamborghini,"Urus Performante’s best habit? Raising the bar, even on the track.

#Lamborghini #UrusPerformante #ForBarRaisersOnly
__
Urus Performante: fuel consumption combined: 14,1 l/100km (WLTP); CO2-emissions combined: 320 g/km (WLTP)"
4,Lamborghini,"E-mode Night drive on, ‘til you see dawn.

#Lamborghini #Revuelto #FromNowOn
__
The vehicle is not yet offered for sale and is therefore not subject to Directive 1999/94/EC. The fuel consumption and emissions data is in the type approval stage"
5,Lamborghini,"Every day is a chance to feel something extraordinary. In this case, the chance has a name: Huracán EVO Spyder.
A V10 super sports car that can reach 100 km/h in 3.1 seconds, that can thrill you with just a gaze at its impossibly bold figures, that can cut the wind and drive you to freedom. Every single day.

Captured by @denniswierenga

#Lamborghini #HuracanEVO #EveryDayAmplified
__
Huracán EVO Spyder: fuel consumption combined 14.2 l/100km; CO2-emissions combined 338 g/km (WLTP EU27)"
6,Lamborghini," It may look like a super sports car, as always. But look closer and you'll figure out that's a vehicle for change. ... 
more
View all 316 comments
officialbolognafc
 #WeSupportMovember ??"
7,Lamborghini," Where do your wildest dreams lead you? Today, Huracán Sterrato's fantastic routes took it all the way to the iconic slopes of Mount Fuji.

#Lamborghini #HuracanSterrato #BeyondTheConcrete
__
Huracán Sterrato: fuel consumption combined: 14,9 l/100km (WLTP); CO2-emissions combined: 337 g/km (WLTP)"
8,Lamborghini,"Elevate every journey with the unprecedent performance and power of Urus Performante.

#Lamborghini #UrusPerformante #ForBarRaisersOnly
__
Urus Performante: fuel consumption combined: 14,1 l/100km (WLTP); CO2-emissions combined: 320 g/km (WLTP)"
9,Lamborghini,"The perfect Halloween costume for Revuelto doesn't ex...

#Halloween"
10,Lamborghini,"Once again, we are thrilled to announce that we concluded the first nine months of 2023 with outstanding results. This is witnessed by our latest turnover, which surpassed the €2 billion mark, recording a +5.2% increase compared to the previous year. At the same time the operating result amounted to €618 million, exceeding the level of the fiscal year 2022.

#Lamborghini #DrivingHumansBeyond
__
The vehicle is not yet offered for sale and is therefore not subject to Directive 1999/94/EC. The fuel consumption and emissions data is in the type approval stage"
11,Lamborghini,"Stars need light, right? Countach deserves them.

#Lamborghini #Countach"
12,Lamborghini,"The exterior elegance, the inside comfort, and the engine power.
Revuelto is pure uniqueness for the eyes, the touch, and the emotions.
It’s like being in the future. And driving through it.

#Lamborghini #Revuelto #FromNowOn
__
The vehicle is not yet offered for sale and is therefore not subject to Directive 1999/94/EC. The fuel consumption and emissions data is in the type approval stage"
